date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:18	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:15%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=203	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index5bfa.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:18	428137/428137	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:17%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=201	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index6fb6.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:23	428137/428137	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:23%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=204	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index457f.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:23	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:22%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=202	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index800a.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:28	428139/428139	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:24%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=205	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index56b2.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:28	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:24%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=211	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexc771.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:31	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:29%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=210	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index5d39.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:31	428140/428140	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:30%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=207	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index1679.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:37	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:34%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=212	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexd051.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:37	428140/428140	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:35%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=216	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexc19c.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
